control_id,framework,framework_version,part_number,part_title,section_number,section_title,subsection,paragraph,legal_reference,legal_requirement,requirement_id,control_title,control_description,plain_language_question,why_this_matters,implementation_guidance,expected_state,response_type,answer_options,required,applicability,applicability_question,role_scope,evidence_required,evidence_examples,evidence_strength,evidence_review_frequency,risk_category,default_risk_level,risk_rationale,remediation_guidance,suggested_task,suggested_task_priority,control_status,version,source_type,regulatory_status,notes
PDPA-002-001,Personal Data Protection Act,2022,I,Preliminary Provisions,2,Application,,,Section 2,"The Act applies to Mainland Tanzania and to Tanzania Zanzibar, save that in Tanzania Zanzibar it does not apply to non-union matters.",REQ-002-1,Territorial scope determination,"The organisation has determined which of its operations fall within the territorial scope of the Act, including whether any Zanzibar operations concern non-union matters.",Have you worked out which parts of your organisation and which activities the Tanzania Personal Data Protection Act applies to?,"Knowing exactly where the Act applies decides which of your teams, systems and records have to follow it. Getting this wrong at the start makes every later answer unreliable.","Record the entities, branches and processing activities in scope. Note separately any activity carried out in Zanzibar that you consider a non-union matter, and the basis for that view. Whether a matter is a union matter is a constitutional question - take advice rather than deciding it informally.","A documented scoping statement listing in-scope entities, locations and processing activities, reviewed at least annually.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Scoping Statement | Data Processing Register | Group Structure Chart,MODERATE,ANNUAL,GOVERNANCE,MEDIUM,"DataGuard default risk classification: Medium. An incorrect scope assessment silently invalidates the rest of the assessment, but it is a foundational rather than an operational failure.","Run a scoping workshop with legal, IT and business owners. Produce a written scope statement and have it approved by the accountable executive.",Document the territorial and organisational scope of PDPA applicability,MEDIUM,ACTIVE,1.0.0,ACT_DERIVED,NONE,"ACT_DERIVED. Section 2 states the territorial reach of the Act. The obligation to document a scoping exercise is DataGuard implementation practice, not a statutory requirement, and adds no new legal obligation."
PDPA-005-001,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(a),Section 5(a),"Personal data shall be processed lawfully, fairly and transparently.",REQ-005-A,"Lawful, fair and transparent processing","All processing of personal data is carried out on a lawful footing, is fair to the individuals concerned, and is explained to them openly.","Is every use you make of personal data lawful, fair to the people concerned, and openly explained to them?","This is the headline principle of the Act. If people are surprised or misled about what happens to their data, the processing is not fair or transparent even if nothing else has gone wrong.","Maintain a record of each processing activity with the lawful basis relied on, and a plain-language privacy notice that matches what actually happens. Check that the notice and the record agree.",A current processing record and a published privacy notice that accurately describe all processing activities.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Privacy Policy | Privacy Notice | Data Processing Register | Data Protection Policy,MODERATE,ANNUAL,LAWFULNESS,HIGH,DataGuard default risk classification: High. Section 5 principles apply to every processing activity and are the benchmark against which complaints under section 39 are assessed.,"Build or refresh the processing register, assign a lawful basis to each activity, then rewrite the privacy notice so it matches.",Establish a processing register with a documented lawful basis for each activity,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,The Act states the principle but does not set out an exhaustive list of lawful bases. Lawfulness is assessed against the Act as a whole and against other written laws.
PDPA-005-002,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(b),Section 5(b),"Personal data shall be collected for explicit, specified and legitimate purposes and not further processed in a manner incompatible with those purposes.",REQ-005-B,Purpose specification and limitation,"Each collection of personal data has a stated, specific and legitimate purpose recorded in advance, and later uses are checked against that purpose.","For each set of personal data you collect, have you written down exactly why you collect it, and do you keep uses within that reason?","Purpose is the anchor for almost every other duty in the Act - how long you keep data, who you may share it with, and whether a new use is allowed.",Record a specific purpose statement per processing activity. Avoid catch-all wording such as business purposes. Route any proposed new use through a compatibility check before it starts.,"Every processing activity in the register has an explicit purpose, and a documented route exists for approving new uses.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Data Processing Register | Privacy Notice | Purpose Compatibility Assessment,MODERATE,ANNUAL,PURPOSE_LIMITATION,HIGH,DataGuard default risk classification: High. Purpose creep is the most common cause of downstream breaches of sections 25 and 26.,Document a purpose for each activity in the register and introduce a change-of-purpose approval step.,Record an explicit purpose for every processing activity,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-005-003,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(c),Section 5(c),"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which it is processed.",REQ-005-C,Data minimisation,The organisation collects and retains only the personal data fields that are necessary for the stated purpose.,"Do you collect only the personal information you actually need for the purpose, and no more?","Every extra field you hold is extra risk if something goes wrong, and it is harder to justify to the Commission or to the person concerned.","Review forms, application screens and data feeds field by field against the recorded purpose. Remove or stop collecting fields that no longer earn their place.","A documented field-level review per collection point, with unnecessary fields removed.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Data Minimisation Review | Data Processing Register | Form and Screen Inventory,MODERATE,ANNUAL,DATA_MINIMISATION,MEDIUM,"DataGuard default risk classification: Medium. Over-collection is a standing breach of section 5(c) and increases the impact of any incident, but it rarely causes immediate harm on its own.","Run a field-level review of the highest-volume collection points first, then work down.",Review collection forms and remove unnecessary personal data fields,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-005-004,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(d),Section 5(d),"Personal data shall be accurate and where necessary kept up to date, with every reasonable step taken to ensure that any inaccurate personal data is erased or rectified without delay.",REQ-005-D,Accuracy and prompt rectification,"The organisation keeps personal data accurate and up to date, and corrects or erases inaccurate data without delay once identified.","Do you keep personal information accurate and up to date, and fix or delete wrong information promptly when you find it?","Decisions made on wrong information can cause real harm to people, and the Act requires you to act without delay once you know.","Define how inaccuracies are reported and who fixes them, and set an internal turnaround target. The Act says without delay but does not fix a number of days, so any target you set is your own commitment.",A documented data quality and rectification process with a defined internal turnaround target and a log of corrections made.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Data Quality Procedure | Rectification Log | Data Subject Rights Procedure,MODERATE,QUARTERLY,DATA_QUALITY,MEDIUM,DataGuard default risk classification: Medium. Inaccuracy is directly actionable by the Commission under section 38 and can found a compensation claim under section 37.,"Create a rectification workflow with an owner, a target turnaround and an audit log. Link it to the section 29 correction process.",Implement a data accuracy and rectification workflow,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,INTERPRETATION: any specific turnaround time an organisation sets is its own commitment. The Act says without delay and does not prescribe a period.
PDPA-005-005,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(e),Section 5(e),Personal data shall be stored in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data is processed.,REQ-005-E,Storage limitation,"Personal data is held in identifiable form only for as long as the purpose requires, after which it is disposed of or de-identified.",Do you stop keeping personal information in a form that identifies people once you no longer need it for the purpose?,"Holding identifiable data indefinitely creates risk with no offsetting benefit, and it is one of the easiest failures for a regulator to spot.","Read this together with section 28. Where a retention period is fixed by another written law or by regulations made under the Act, that period governs. Where it is not, justify the period against the purpose and record the reasoning.","A retention schedule covering all record types, with a defined end-of-life action for each.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Retention Schedule | Disposal Log | Data Processing Register,MODERATE,ANNUAL,RETENTION,MEDIUM,DataGuard default risk classification: Medium. Over-retention breaches section 5(e) and compounds the impact of any security incident.,"Build a retention schedule keyed to record type and purpose, then automate or diarise the disposal step.",Produce a retention schedule covering all personal data record types,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,Section 28(2) empowers the Minister to prescribe retention and disposal by regulations. Do not assume a period that is not fixed by a relevant law or by those regulations.
PDPA-005-006,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(f),Section 5(f),Personal data shall be processed in accordance with the rights of a data subject.,REQ-005-F,Processing consistent with data subject rights,Processing operations are designed so that the rights in Part VI of the Act can actually be exercised and honoured.,Are your systems and processes set up so that people can actually exercise their rights over their data?,Rights that cannot be delivered in practice are a compliance failure even where nobody has yet complained.,"Confirm that for each system holding personal data you can locate an individual record, describe the purposes and recipients, suspend processing, and rectify or erase where required.","A rights-readiness assessment per system, with gaps tracked to closure.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Data Subject Rights Procedure | System Rights Readiness Assessment | Rights Request Log,MODERATE,ANNUAL,DATA_SUBJECT_RIGHTS,HIGH,DataGuard default risk classification: High. Inability to serve a right is directly visible to data subjects and is the usual trigger for a section 39 complaint.,Assess each major system against the Part VI rights and remediate the systems that cannot support them.,Assess each system against the Part VI data subject rights,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-005-007,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(g),Section 5(g),"Personal data shall be processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against any loss, destruction or damage, using appropriate technical or organisational measures.",REQ-005-G,Security principle - technical and organisational measures,A programme of technical and organisational security measures protects personal data across its lifecycle.,Do you have a set of technical and organisational security measures that protect personal data throughout its life?,"This principle sits alongside the detailed duties in section 27, and it binds data processors directly as well as data controllers.",Maintain a documented security programme and map each measure to the risk it addresses. The section 27 controls decompose this obligation further.,An approved information security policy with an inventory of implemented technical and organisational measures.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Security Policy | Information Security Programme | Risk Assessment | Access Control Procedure,MODERATE,ANNUAL,SECURITY,CRITICAL,"DataGuard default risk classification: Critical. Security failures are the highest-impact and least reversible category of non-compliance, and section 5(g) binds processors directly, not only controllers.",Stand up a documented security programme and align it to the specific section 27 duties.,Establish and document an information security programme for personal data,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,Section 5 binds both the data controller and the data processor. Section 27(1) by its terms addresses the data controller and his representatives.
PDPA-005-008,Personal Data Protection Act,2022,I,Preliminary Provisions,5,Principles of personal data protection,,(h),Section 5(h),Personal data shall not be transferred abroad contrary to the provisions of this Act.,REQ-005-H,No transfer abroad contrary to the Act,Transfers of personal data outside Tanzania are only made on a basis permitted by Part V of the Act.,Do you make sure that personal data only leaves Tanzania on a basis the Act allows?,"Cloud services, group companies and overseas suppliers move data across borders routinely, often without anyone noticing.","Read with sections 31 and 32. Identify every route by which data leaves the country, including remote support access and offshore backups, then confirm the basis for each.",A transfer inventory covering all cross-border flows with a recorded Part V basis for each.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,CONDITIONAL,"Does any personal data you hold leave Tanzania - including cloud hosting, offshore backups, group systems or remote support access?",CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Transfer Inventory | Transfer Assessment | Cloud Hosting Register,MODERATE,ANNUAL,CROSS_BORDER_TRANSFER,HIGH,DataGuard default risk classification: High. Unrecognised transfers are common and each one is a standing breach until a Part V basis is established.,"Build the transfer inventory first, then assess each flow under section 31 or 32.",Build an inventory of all cross-border personal data transfers,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-014-001,Personal Data Protection Act,2022,III,Registration of Data Controllers and Data Processors,14,Registration of data controllers and data processors,14(1),,Section 14(1),A person shall not collect or process personal data without being registered as a data controller or a data processor under this Act.,REQ-014-1,Registration held before any collection or processing,The organisation holds a current registration as a data controller or data processor covering all of its collection and processing of personal data.,Is your organisation registered with the Personal Data Protection Commission as a data controller or data processor?,Registration is a precondition to collecting or processing personal data at all. Processing without it is a standing breach regardless of how well everything else is run.,"Confirm which capacity applies - controller, processor, or both for different activities - and that the registration on file covers all of them. Keep the certificate accessible.","A valid certificate of registration is held, covers every capacity in which the organisation acts, and has not expired.",YES_NO,Yes | No | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,Certificate of Registration | Registration Application | Commission Correspondence,STRONG,ANNUAL,REGISTRATION,CRITICAL,"DataGuard default risk classification: Critical. Section 14(1) is an absolute prohibition on processing without registration, and section 19 makes contravention of this Part an offence.",Stop or pause new collection where feasible and apply to the Commission for registration immediately. Take legal advice on processing already under way.,Obtain registration with the Personal Data Protection Commission,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"Section 19 provides that contravention of this Part is an offence punishable under section 63 (fine of not less than TZS 100,000 and not exceeding TZS 5,000,000, or imprisonment not exceeding five years, or both). Section 21 deems public institutions registered."
